name,description,category,department,eligibilityCriteria,benefits,applicationProcess,requiredDocuments,sourceUrl,incomeLimit,ageLimit,familySizeLimit,stateSpecific,isActive
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)","The scheme ï¿½ï¿½ï¿½Financial Assistance to Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)ï¿½ï¿½ï¿½ was launched by the Department of Social Justice, Government of Kerala. Under the scheme, financial assistance will be provided to such school dropouts to pursue SSLC, +1, +2 equivalent courses implemented by State Literacy Mission. A person becomes disabled by birth or because of an accident or disease. The differently-abled persons face many hurdles in their day-to-day life. About 90% of disabled persons may not have received even primary education. They are forced to give up studies due to various factors, such as difficulty in going to educational institutions and inadequate road f",Social Welfare,Government of India,The applicant should be a resident of Kerala State. 1. The differently abled students with 40% or more disability are eligible to apply under the scheme. 1. Financial assistance will be provided to students falling in Above Poverty Line (APL) as well as Below Poverty Line (BPL) categories.,Sl. No.Class/CourseCourse Fee AssistanceExam Fee AssistanceRegistration Fee AssistanceAdmission Fee Assistance1SSLC/10th Classï¿½ï¿½ï¿½1750/-ï¿½ï¿½ï¿½500/-ï¿½ï¿½ï¿½100/---211th Classï¿½ï¿½ï¿½1950/-ï¿½ï¿½ï¿½700/-ï¿½ï¿½ï¿½100/,"Step 01: To avail of the benefits of the scheme, the applicant needs to visit the nearest Anganwadi Centre or District Social Justice Office and collect the application form. The [application form](http://sjd.kerala.gov.in/DOCUMENTS/Downloadables/Application%20Forms/24910.pdf) can also be downloaded from the official website of the Social Justice Department, Government of Kerala. Step 02: The applicant needs to fill out the application form completely Step 03: The application may be submitted to the District Social Justice Officers (DSJOs) or the concerned Anganwadi Centre. Note 01: The DSJOs have to make sure that the applicants have completed their courses and that the certificates issued by State Literacy Mission have been correctly distributed to the respective applicants in that academic year. Note 02: The list of beneficiaries will be prepared based on the applications collected through the Anganwadi workers and inquiries by the concerned Child Development Project Officers (CDPOs",Identity proof 2. Passport-size photo 3. Educational Certificates 4. Below Poverty Line (BPL) Card (If applicable) 5. Disability Certificate 6. Income Certificate/Copy of Ration card (If applicable) 7. Bank account details,http://sjd.kerala.gov.in/scheme-info.php?scheme_id=MTE3c1Y4dXFSI3Z5,,,,Kerala,True
Food Bill Assistance to SC Students,"The ï¿½ï¿½ï¿½Food Bill Assistance to SC Studentsï¿½ï¿½ï¿½ scheme is administered by the Director, Scheduled Caste Welfare, Government of Gujarat. Under the scheme, financial assistance is provided to the Scheduled Caste (SC) students who are admitted in college affiliated hostels for food bill. The students will be eligible for food bill assistance up to 10 months","Education & Learning, Social Welfare & Empowerment",Government of India,"The student should belong to the Scheduled Caste of Gujarat. 2. The students should reside in the hostel, affiliated to the college. 3. The annual family income of the student should be up to ï¿½ï¿½ï¿½6 l","- The food bill assistance @ ï¿½ï¿½ï¿½1,500/- per month (Up to 10 Months) will be granted to the Scheduled Caste (SC) students admitted in college affiliated host","&gt; Application Process for Scheme Benefit: Step 01: The applicant may visit the Digital Gujarat Portal: [https://www.digitalgujarat.gov.in/](https://www.digitalgujarat.gov.in/) Step 02: On the home page, click on ï¿½ï¿½ï¿½Registerï¿½ï¿½ï¿½ and the applicant will be redirected to the registration form page. Step 03: Enter your Mobile Number, Email, Set Password, and then click on ï¿½ï¿½ï¿½Saveï¿½ï¿½ï¿½. Step 04: After successful registration, the applicant can login through his/her User Name (Mobile No./Email ID) and Password. Step 05: Now, click on ï¿½ï¿½ï¿½My Profileï¿½ï¿½ï¿½ to update your profile and fill in all the mandatory information. Step 06: After filling in profile details, click on ï¿½ï¿½ï¿½Update Profileï¿½ï¿½ï¿½. The profile will be updated after entering the verification Code (OTP). Step 07: Now under services, select ï¿½ï¿½ï¿½Scholarship Servicesï¿½ï¿½ï¿½ and then click on ï¿½ï¿½ï¿½SC Schemeï¿½ï¿½ï¿½. Step 08: Select the Financial Year in which you want toelect the sch",Passport size photo 1. Identity proof i.e. Aadhaar Card 1. Caste Certificate from the Competent Authority 1. Income Certificate (Competent Authority) (Form no.16 required for Govt. Employee) 1. Standard 10th Marksheet 1. Break Affidavit (If Break Gap is more than One Year) 1. School Leaving Certificate (If Any) 1. Marriage Certificate (If Any) 1. First Page of Bank Passbook/Cancelled Cheque 1. Death Certificate of Father (If Father not Alive) 1. Hostel Certificate (Only for Hosteller Student) 1. Standard 12th Marksheet (If Any) 1. Graduate Marksheet (If Any) 1. Other Marksheets/Last Year Marksheet (If Any) 1. Identity Card (College/School) 1. [Certificate](https://www.digitalgujarat.gov.in/CitizenApp/Citizen/DownLoad/hostel_Certificate_tobe_issuedby_the_Warden.pdf) issued by the Warden (For Hosteller Student Only) 1. LWP [Certificate](https://www.digitalgujarat.gov.in/CitizenApp/Citizen/DownLoad/LWP%20CERTIFICATE.pdf) (For Students Who take Leave Without Pay For Entire Duration of Cour,https://sje.gujarat.gov.in/dscw/schemes/1527?lang=English,,,,Gujarat,True
"Financial Assistance to SC Students Studying in Medical, Engineering and Diploma Course for Purchasing Educational Instrument","The ï¿½ï¿½ï¿½Financial Assistance to SC Students Studying in Medical, Engineering and Diploma Course for Purchasing Educational Instrumentï¿½ï¿½ï¿½ scheme is administered by the Director, Scheduled Caste Welfare, Government of Gujarat. Under the scheme, financial assistance is provided to Scheduled Caste students who are studying Medical, Engineering, and Diploma Courses for purchasing educational equipment/instrum",Education,Government of India,"The student should belong to the Scheduled Caste of Gujarat. 1. The student should be studying in Medical, Engineering, or Diploma courses. 1. The annual family income of the student should be up to ï¿½ï¿½ï¿½6,00,00","> Scholarship rate per student: - For Medical Student: ï¿½ï¿½ï¿½10,000/- - For Engineering Student: ï¿½ï¿½ï¿½8,000/- - For Diploma Student: ï¿½ï¿½ï¿½3,000/- Note: The assistance shall be given in the","Step 01: The applicant may visit the Digital Gujarat Portal: [https://www.digitalgujarat.gov.in/](https://www.digitalgujarat.gov.in/) Step 02: On the home page, click on ï¿½ï¿½ï¿½Registerï¿½ï¿½ï¿½ and the applicant will be redirected to the registration form page. Step 03: Enter your Mobile Number, Email, Set Password, and then click on ï¿½ï¿½ï¿½Saveï¿½ï¿½ï¿½. Step 04: After successful registration, the applicant can login through his/her User Name (Mobile No./Email ID) and Password. Step 05: Now, click on ï¿½ï¿½ï¿½My Profileï¿½ï¿½ï¿½ to update your profile and fill in all the mandatory information. Step 06: After filling profile details, click on ï¿½ï¿½ï¿½Update Profileï¿½ï¿½ï¿½. The profile will be updated after entering the verification Code (OTP). Step 07: Now under services, select the ï¿½ï¿½ï¿½Scholarship Servicesï¿½ï¿½ï¿½ and then click on ï¿½ï¿½ï¿½SC Schemeï¿½ï¿½ï¿½. Step 08: Select the Financial Year in which you want to apply for and then click on ï¿½ï¿½ï¿½Change Finaand then",Passport size photo 2. Identity proof i.e. Aadhaar Card 3. Caste Certificate from the Competent Authorities 4. Income Certificate (Competent Authority) (Form No. 16 required for Govt. Employee) 5. 10th Standard Marksheet 6. Break Affidavit (If Break Gap is more than One Year) 7. School Leaving Certificate (If Any) 8. First Page of Bank Passbook/Cancelled Cheque 9. Marriage Certificate (If Any) 10. Death Certificate of Father (If Father not Alive) 11. 12th Standard Marksheet (If Any) 12. Other Marksheets/Last Year Marksheet (If Any) 13. Graduate Marksheet (If Any) 14. Identity Card (College/School) 15. Any other documents as required Note: The Validity of the Income Certificate is 3 years. It is advised to check the Income Certificate issue date before uploading the document.,https://sje.gujarat.gov.in/dscw/schemes/1531?lang=English,,,,Gujarat,True
Scheme of Giving Awards to Eminent Artists - Kalai Valarmani Award,"The &quot;Scheme of Giving Awards to Eminent Artists - Kalai Valarmani Award&quot; scheme by the Art and Culture Department, Government of Tamil Nadu. The scheme&#39;s objective is to promote and preserve the culture of Tamil Nadu. The selected artists are awarded financial assistance ï¿½ï¿½ï¿½6,000/- and certificates of appreciation. The scheme is being implemented in all Districts of Tamil",Employment,Government of India,The applicant should be an artist. 1. The age of the applicant should be between 19 to 35 years.,"- Financial Assistance of ï¿½ï¿½ï¿½6,000/-. - Certificate of Appreciation. - A shawl worth ï¿½ï¿½ï¿½500/-. - 5 eminent artists are awarded e","> To Register on the Website: Step 1: Applicant visits the [official website](https://artandculture.tn.gov.in/user/register). Step 2: Click on &#39;Artist Registration&#39; then &#39;Individual Fine Arts. Step 3: Fill in the mandatory fields such as Name and Mobile number. Step 4: Upon entering your mobile number, you will receive an OTP for verification. Verify your mobile number to proceed. Step 5: Establish a password and input the provided verification code (CAPTCHA). Step 6: Log in to your account upon successful verification. > Artist Registration Procedure: Step 7: Return to &#39;Artist Registration&#39; and choose &#39;Individual Fine Arts&#39;. Step 8: Complete the &#39;Artist Individual Registration&#39; form with the necessary details. Step 9: Upload the Artist&#39;s photo, relevant documents, and photos of artworks. Step 10: Optionally, provide the link to your YouTube channel if available. Step 11: Enter your bank details and complete the CAPTCHA verification. Step 12: Cli",- 3 Photographs. - Bio-Data. - Degree Certificate. - Copy of Family Card or Voter ID Card. - A copy of the School Replacement Certificate or a Bust Photograph should be attached (in case of absence of a School Replacement Certificate). - Copy of Proof of Artistic Ability. - Current Age Proof as per Family Card.,https://www.tn.gov.in/rti/proactive/inftour/handbook_artculture.pdf,,,,Tamil Nadu,True
Mukhyamantri Mahila Poshan Yojana,"The Government of Uttarakhand, recognizing the critical role of maternal health in child development, has implemented the &amp;quot;Mukhyamantri Mahila Poshan Yojana&amp;quot; program under the Department of Women Empowerment and Child Development. This social security scheme specifically targets pregnant and lactating women in the state. By providing them with nutritious food supplements, the program aims to combat malnutrition among these mothers. This focus on proper maternal nutrition during pregnancy and breastfeeding is crucial, as it directly impacts the health and well-being of both the mother and the developing child. By ensuring that expecting and new mothers have access to essential nutrients, the &amp;quot;Mukhyamantri Mahila Poshan Yojana&amp;quot; strives to create a healthier generation for Uttarakhand.","Social Welfare & Empowerment, Women And Child, Health & Wellness",Government of India,Beneficiary should be a permanent resident of Uttarakhand. 1. Beneficiary should be pregnant/lactating women.,- Egg (2 Days/Week). - Dates(2 Days/Week). Note: Dates are provided to those registered pregnant/lactating women who do not take eggs.,"Step-1: Concerned women should visit their nearest Anganwadi Centre. Step-2: Provide all the necessary documents as directed (attested, if required). Step-3: After the completion of the procedure benefits can be availed from the Anganwadi Centre.",- Aadhar card. - Proof of Pregnancy (Medical Report). - Any other document (as requested).,https://agriculture.uk.gov.in/files/MERI_YOJANA_book_pdf__04-12-23.pdf,,,,Uttarakhand,True
Mukhyamantri Mahalaxmi Kit Yojana,"Launched by the Department of Women Empowerment and Child Development in Uttarakhand, the &amp;quot;Mukhyamantri Mahalaxmi Kit Yojana&amp;quot; is a social security scheme offering a helping hand to new mothers and their daughters. This initiative specifically targets mothers with a family income below a certain limit. By providing essential nutritional kits, the program aims to improve the health and well-being of both mothers and their newborn daughters during the crucial postpartum period. These kits aren&amp;#39;t just filled with good food; they also contain necessary items to ensure proper care for both the mother and child. Ultimately, the Mukhyamantri Mahalaxmi Kit Yojana aspires to not only support the health of mothers and daughters but also potentially bridge the nutritional gap and promote gender equality.",Healthcare,Government of India,> For Mother: - Beneficiary should be a permanent resident of Uttarakhand. - Beneficiary should be a postpartum woman. - Beneficiary should not be an income tax payer. - Beneficiary should be registered in any Anganwadi centre. > For Daughter: - Beneficiary should be the first or second daughter of her mother.,"- For Mothers: Dry fruits, socks, scarp towels, shawls, blankets, bedsheets, sanitary pads, mustard oil, soap, nail cutters etc- For the girl child: Cotton/warm cap, sock, loincloth, towel, baby soap, rubber sheet, warm blanket, vaccination card etc. Note: Each kit will be provided to the mother and their first two girl children. For twins, both daughters and their mother will get one kit.","Step-1: Concerned parents should visit their nearest Anganwadi Centre. Step-2: Provide all the necessary documents as directed (attested, if required). Step-3: After the completion of the procedure benefits can be availed from the Anganwadi Centre.",> For Mother: 1. Medical proof of being a postpartum woman. 1. Identity proof. > For Daughter: 1. Proof of birth.,https://agriculture.uk.gov.in/files/MERI_YOJANA_book_pdf__04-12-23.pdf,,,,Uttarakhand,True
Scheme of Extending Financial Assistance to New Drama Productions,"The &quot;Scheme of Extending Financial Assistance to New Drama Productions&quot; was launched by the Art &amp; Culture Department, Government. of Tamil Nadu. The scheme aims to encourage the dance-drama art forms and the artists involved in such arts. The scheme provides grants of ï¿½ï¿½ï¿½20,000/- for the production and staging of new Tamil dance dramas based on Tamil arts, literature and cult","Skills & Employment, Sports & Culture",Government of India,"- The dramas should reflect the assistance of Tamil art forms, culture, civilization, tradition, society and history. - The drama should not be staged in advance. - The drama should not show caste, religious, or political animosity. - No additional dialogues or scenes should be added to the drama scripts without prior approval of the Manram. - The drama scripts should be selected by the Manram.","Financial Assistance of upto ï¿½ï¿½ï¿½20,000/-, based on the quality and sceneries of the social, historical, mythological, dramas selected by the expert committee, > Number of Instalments The financial assistance is provided in four instalments: - 30% as the first instalment, given after the selection of the drama by the expert committee. - 40% as the second instalment, provided three days before the conduct of the drama. - 20% as the third instalment, released on the day when the drama is staged. - 10% as the fourth instalment, disbursed after receiving the utilization certificate and certification from the Chartered Accountant. The Mandram will bear the expenses towards the rent for the auditorium, sound and light, advertisement and invitation. The expenses relating to the rehearsal of drama, remuneration to the actors, scenes and settings, etc., have to be borne by the drama institution receiving financial assist","_The advertisement is published in the newspapers, calling for applications by the Tamil Nadu Eyal Isai Nataka Mandram._ Step 1: The interested applicant should visit (during office hours) the office Mandram and request a hard copy of the prescribed format of the application form from the concerned staff. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the Tamil Nadu Eyal Isai Nataka__ Mandram. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","- 3 Copies of Drama Scripts. - No-Objection Certificate for the Dialogues or Scenes in the Drama, issued by the District Collector/Police Department).",https://www.tn.gov.in/rti/proactive/inftour/handbook_artculture.pdf,,,,Tamil Nadu,True
Sanitary Napkin Scheme,"Recognizing the importance of menstrual hygiene management, the Uttarakhand government&amp;#39;s Department of Women Empowerment and Child Development introduced the &amp;quot;Sanitary Napkin Scheme,&amp;quot; a social security initiative focused on adolescent girls and women. This program tackles the issue of period poverty by making sanitary napkins readily available at a subsidized cost. By ensuring affordability, the scheme empowers girls and women to manage their menstrual cycles hygienically and confidently. This not only promotes good health but also allows them to participate fully in all aspects of daily life, including education and work. The &amp;quot;Sanitary Napkin Scheme&amp;quot; serves as a significant step towards breaking the silence around menstruation and fostering a culture of menstrual health awareness in Uttarakhand.","Health & Wellness, Social Welfare & Empowerment",Government of India,- Beneficiary should be a permanent resident of Uttarakhand. - Beneficiary should be a girl/woman.,- Sanitary napkins are distributed to adolescent girls/women at ï¿½ï¿½ï¿½ 6/-.,Step-1: Concerned girls/women should visit their nearest Anganwadi Centre. Step-2: They can buy sanitary napkins from there at a minimum cost of ï¿½ï¿½ï¿½,- No documents are required. Note: Beneficiaries can directly approach their nearest Anganwadi Centre and buy sanitary napkins.,https://agriculture.uk.gov.in/files/MERI_YOJANA_book_pdf__04-12-23.pdf,,,,Uttarakhand,True
Kam Lagat Pyaaj Bhandaran Sanrachna,"The Kam Lagat Pyaaj Bhandaran Sanrachna yojana under the Agriculture Department of the Rajasthan government provides subsidies and support, the scheme aims to assist farmers in constructing storage facilities for onions at affordable rates. This initiative seeks to address post-harvest losses, prolong the shelf life of onions, and stabilize market prices by ensuring adequate storage infrastructure. Ultimately, the scheme aims to enhance the income of onion farmers and contribute to the overall development of the agricultural sector. > Important Points 1. Created and approved by the Provisional Socialist Committee. 1. The grant amount will be paid directly into the farmer&#39;s bank.",Agriculture,Government of India,The applicant must be a native of Rajasthan. 1. The applicant should be a Farmer. 1. The applicant must have a minimum of 0.5 land ownership. 1. A farmer who is cultivating onion and wants to build a low-cost onion storage structure.,"- Onion storage structure (25 Metric Ton capacity): 50% unit cost subsidy, max grant ï¿½ï¿½ï¿½ 87,50","> Registration Step-1: Applicant have to visit the [official portal](https://sso.rajasthan.gov.in/signin). Step-2: Click on the option ï¿½ï¿½ï¿½[Register](https://sso.rajasthan.gov.in/register)ï¿½ï¿½ï¿½. Step-3: Then you will be redirected to the SSO registration page. The registration page will appear with the following options. - Citizen Step-4: Choose the either one option from the Jan Aadhaar Or Google to process further. - Jan Aadhaar : Enter the Jan Aadhaar number, click on the ï¿½ï¿½ï¿½Nextï¿½ï¿½ï¿½ button, - Select your name, the name of the head of the family and all the other members and - Click on the ï¿½ï¿½ï¿½Send OTPï¿½ï¿½ï¿½ button. Enter the ï¿½ï¿½ï¿½OTPï¿½ï¿½ï¿½ and - Click on the ï¿½ï¿½ï¿½Verify OTPï¿½ï¿½ï¿½ button to Complete the registration. - Google : Enter the Gmail ID, click on the ï¿½ï¿½ï¿½Nextï¿½ï¿½ï¿½ button, - Enter the password. - A new link appear on screen, now click on the new SSO link. - SSO ile number, click on registration. Step-5: Submit. > APPLY Step",Aadhaar Card/Jan Aadhar Card. 1. Copy of Jamabandi (not more than six months old).,https://rajkisan.rajasthan.gov.in/Rajkisanweb/Kisan#,,,,Rajasthan,True
Drip Sanyantr,"The Drip Sanyantr under the Agriculture Department Rajasthan government gives subsidies to farmers. Proper utilization of every drop of water by drip plant, 75-80 percent saving of water and increase in quality production through efficient technology. For the successful operation of a drip irrigation system, it is necessary to calculate the correct water requirement because through this system only water is given equal to the requirement of the plants. The water requirement of plants varies seasonally and every month and the working hours of the system are balanced accordingly. > Important points 1. After issuing administrative approval from the irrigation department. 1. The grant amount is transferred to the account of the farmer or the supplier manufacturer/dealer with the consent of the farmer.",Agriculture,Government of India,The applicant should be a farmer. 1. The applicant should be a native of Rajasthan. 1. The farmer should have at least 0.2 hectares of irrigated cultivable land.,"70% subsidy is given to general farmers and 75% subsidy is given to small, marginal Scheduled Caste, Scheduled Tribe, and women farmers. 1. All categories of farmers are given subsidies on drip plants up to a maximum area of 5 hectares.","> Registration Step-1: Applicant have to visit the [official portal](https://sso.rajasthan.gov.in/signin). Step-2: Click on the option ï¿½ï¿½ï¿½[Register](https://sso.rajasthan.gov.in/register)ï¿½ï¿½ï¿½. Step-3: Then you will be redirected to the SSO registration page. The registration page will appear with the following options. - Citizen Step-4: Choose the either one option from the Jan Aadhaar Or Google to process further. - Jan Aadhaar : Enter the Jan Aadhaar number, click on the ï¿½ï¿½ï¿½Nextï¿½ï¿½ï¿½ button, - Select your name, the name of the head of the family and all the other members and - Click on the ï¿½ï¿½ï¿½Send OTPï¿½ï¿½ï¿½ button. Enter the ï¿½ï¿½ï¿½OTPï¿½ï¿½ï¿½ and - Click on the ï¿½ï¿½ï¿½Verify OTPï¿½ï¿½ï¿½ button to Complete the registration. - Google : Enter the Gmail ID, click on the ï¿½ï¿½ï¿½Nextï¿½ï¿½ï¿½ button, - Enter the password. - A new link appear on screen, now click on the new SSO link. - SSO ile number, click on registration. Step-5: Submit. > APPLY Step",Jamabandi copy (not older than 6 months) 1. Aadhar Card/Janadhar Card. 1. Irrigation Source Certificate. 1. Soil and Water Testing Report. 1. Supplier&#39;s Quotation.,https://rajkisan.rajasthan.gov.in/Rajkisanweb/Kisan,,,,Rajasthan,True
